sample_size,power,stratification
10,0.158,original cohort
20,0.214,original cohort
30,0.317,original cohort
40,0.415,original cohort
50,0.473,original cohort
60,0.612,original cohort
70,0.696,original cohort
80,0.73,original cohort
10,0.115,1-year progressor
20,0.175,1-year progressor
30,0.217,1-year progressor
10,0.163,2-year progressor
20,0.327,2-year progressor
30,0.481,2-year progressor
40,0.644,2-year progressor
50,0.843,2-year progressor
60,0.975,2-year progressor
70,1,2-year progressor
10,0.128,3-year progressor
20,0.2,3-year progressor
30,0.3,3-year progressor
40,0.362,3-year progressor
50,0.463,3-year progressor
60,0.538,3-year progressor
70,0.644,3-year progressor
80,0.788,3-year progressor
10,0.152,4-year progressor
20,0.251,4-year progressor
30,0.367,4-year progressor
40,0.522,4-year progressor
50,0.646,4-year progressor
60,0.815,4-year progressor
70,0.892,4-year progressor
80,0.977,4-year progressor
10,0.159,5-year progressor
20,0.277,5-year progressor
30,0.408,5-year progressor
40,0.554,5-year progressor
50,0.679,5-year progressor
60,0.817,5-year progressor
70,0.932,5-year progressor
80,0.989,5-year progressor
